[1] "Prediction Error: 2.50698"
BestTune:
  alpha lambda      RMSE   Rsquared        MAE     RMSESD  RsquaredSD
1     1      0 0.2227336 0.03990416 0.05440299 0.04307126 0.008796247
       MAESD
1 0.00231001
ResultsTune:
        alpha     lambda      RMSE   Rsquared        MAE     RMSESD  RsquaredSD
76  0.5555556  0.0000000 0.2227347 0.03989042 0.05440487 0.04307293 0.008786737
77  0.5555556  0.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
78  0.5555556  1.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
79  0.5555556  2.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
80  0.5555556  2.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
81  0.5555556  3.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
82  0.5555556  4.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
83  0.5555556  5.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
84  0.5555556  5.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
85  0.5555556  6.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
86  0.5555556  7.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
87  0.5555556  7.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
88  0.5555556  8.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
89  0.5555556  9.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
90  0.5555556 10.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
91  0.6666667  0.0000000 0.2227343 0.03989564 0.05440432 0.04307229 0.008790185
92  0.6666667  0.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
93  0.6666667  1.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
94  0.6666667  2.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
95  0.6666667  2.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
96  0.6666667  3.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
97  0.6666667  4.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
98  0.6666667  5.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
99  0.6666667  5.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
100 0.6666667  6.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
101 0.6666667  7.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
102 0.6666667  7.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
103 0.6666667  8.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
104 0.6666667  9.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
105 0.6666667 10.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
106 0.7777778  0.0000000 0.2227340 0.03989916 0.05440382 0.04307184 0.008792700
107 0.7777778  0.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
108 0.7777778  1.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
109 0.7777778  2.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
110 0.7777778  2.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
111 0.7777778  3.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
112 0.7777778  4.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
113 0.7777778  5.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
114 0.7777778  5.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
115 0.7777778  6.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
116 0.7777778  7.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
117 0.7777778  7.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
118 0.7777778  8.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
119 0.7777778  9.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
120 0.7777778 10.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
121 0.8888889  0.0000000 0.2227338 0.03990170 0.05440342 0.04307153 0.008794627
122 0.8888889  0.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
123 0.8888889  1.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
124 0.8888889  2.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
125 0.8888889  2.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
126 0.8888889  3.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
127 0.8888889  4.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
128 0.8888889  5.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
129 0.8888889  5.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
130 0.8888889  6.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
131 0.8888889  7.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
132 0.8888889  7.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
133 0.8888889  8.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
134 0.8888889  9.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
135 0.8888889 10.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
136 1.0000000  0.0000000 0.2227336 0.03990416 0.05440299 0.04307126 0.008796247
137 1.0000000  0.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
138 1.0000000  1.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
139 1.0000000  2.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
140 1.0000000  2.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
141 1.0000000  3.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
142 1.0000000  4.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
143 1.0000000  5.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
144 1.0000000  5.7142857 0.2270507        NaN 0.04707009 0.04353212          NA
145 1.0000000  6.4285714 0.2270507        NaN 0.04707009 0.04353212          NA
146 1.0000000  7.1428571 0.2270507        NaN 0.04707009 0.04353212          NA
147 1.0000000  7.8571429 0.2270507        NaN 0.04707009 0.04353212          NA
148 1.0000000  8.5714286 0.2270507        NaN 0.04707009 0.04353212          NA
149 1.0000000  9.2857143 0.2270507        NaN 0.04707009 0.04353212          NA
150 1.0000000 10.0000000 0.2270507        NaN 0.04707009 0.04353212          NA
          MAESD
1   0.002331539
2   0.002576003
3   0.002582103
4   0.002584875
5   0.002586522
6   0.002587612
7   0.002588349
8   0.002588864
9   0.002589305
10  0.002589595
11  0.002589875
12  0.002590106
13  0.002590294
14  0.002590461
15  0.002590628
16  0.002312045
17  0.002592559
18  0.002592559
19  0.002592559
20  0.002592559
21  0.002592559
22  0.002592559
23  0.002592559
24  0.002592559
25  0.002592559
26  0.002592559
27  0.002592559
28  0.002592559
29  0.002592559
30  0.002592559
31  0.002311406
32  0.002592559
33  0.002592559
34  0.002592559
35  0.002592559
36  0.002592559
37  0.002592559
38  0.002592559
39  0.002592559
40  0.002592559
41  0.002592559
42  0.002592559
43  0.002592559
44  0.002592559
45  0.002592559
46  0.002310568
47  0.002592559
48  0.002592559
49  0.002592559
50  0.002592559
51  0.002592559
52  0.002592559
53  0.002592559
54  0.002592559
55  0.002592559
56  0.002592559
57  0.002592559
58  0.002592559
59  0.002592559
60  0.002592559
61  0.002310487
62  0.002592559
63  0.002592559
64  0.002592559
65  0.002592559
66  0.002592559
67  0.002592559
68  0.002592559
69  0.002592559
70  0.002592559
71  0.002592559
72  0.002592559
73  0.002592559
74  0.002592559
75  0.002592559
76  0.002310532
77  0.002592559
78  0.002592559
79  0.002592559
80  0.002592559
81  0.002592559
82  0.002592559
83  0.002592559
84  0.002592559
85  0.002592559
86  0.002592559
87  0.002592559
88  0.002592559
89  0.002592559
90  0.002592559
91  0.002310246
92  0.002592559
93  0.002592559
94  0.002592559
95  0.002592559
96  0.002592559
97  0.002592559
98  0.002592559
99  0.002592559
100 0.002592559
101 0.002592559
102 0.002592559
103 0.002592559
104 0.002592559
105 0.002592559
106 0.002310156
107 0.002592559
108 0.002592559
109 0.002592559
110 0.002592559
111 0.002592559
112 0.002592559
113 0.002592559
114 0.002592559
115 0.002592559
116 0.002592559
117 0.002592559
118 0.002592559
119 0.002592559
120 0.002592559
121 0.002310215
122 0.002592559
123 0.002592559
124 0.002592559
125 0.002592559
126 0.002592559
127 0.002592559
128 0.002592559
129 0.002592559
130 0.002592559
131 0.002592559
132 0.002592559
133 0.002592559
134 0.002592559
135 0.002592559
136 0.002310010
137 0.002592559
138 0.002592559
139 0.002592559
140 0.002592559
141 0.002592559
142 0.002592559
143 0.002592559
144 0.002592559
145 0.002592559
146 0.002592559
147 0.002592559
148 0.002592559
149 0.002592559
150 0.002592559
