[1] "Prediction Error: 3.59443"
BestTune:
  alpha lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD       MAESD
1     1      0 1.310089 0.1349554 0.3941386 0.2110976 0.02778169 0.009546941
ResultsTune:
        alpha     lambda     RMSE   Rsquared       MAE    RMSESD RsquaredSD
77  0.5555556  0.7142857 1.405029        NaN 0.3960465 0.2131890         NA
78  0.5555556  1.4285714 1.405029        NaN 0.3960465 0.2131890         NA
79  0.5555556  2.1428571 1.405029        NaN 0.3960465 0.2131890         NA
80  0.5555556  2.8571429 1.405029        NaN 0.3960465 0.2131890         NA
81  0.5555556  3.5714286 1.405029        NaN 0.3960465 0.2131890         NA
82  0.5555556  4.2857143 1.405029        NaN 0.3960465 0.2131890         NA
83  0.5555556  5.0000000 1.405029        NaN 0.3960465 0.2131890         NA
84  0.5555556  5.7142857 1.405029        NaN 0.3960465 0.2131890         NA
85  0.5555556  6.4285714 1.405029        NaN 0.3960465 0.2131890         NA
86  0.5555556  7.1428571 1.405029        NaN 0.3960465 0.2131890         NA
87  0.5555556  7.8571429 1.405029        NaN 0.3960465 0.2131890         NA
88  0.5555556  8.5714286 1.405029        NaN 0.3960465 0.2131890         NA
89  0.5555556  9.2857143 1.405029        NaN 0.3960465 0.2131890         NA
90  0.5555556 10.0000000 1.405029        NaN 0.3960465 0.2131890         NA
91  0.6666667  0.0000000 1.310090 0.13495332 0.3941294 0.2110987 0.02778206
92  0.6666667  0.7142857 1.405029        NaN 0.3960465 0.2131890         NA
93  0.6666667  1.4285714 1.405029        NaN 0.3960465 0.2131890         NA
94  0.6666667  2.1428571 1.405029        NaN 0.3960465 0.2131890         NA
95  0.6666667  2.8571429 1.405029        NaN 0.3960465 0.2131890         NA
96  0.6666667  3.5714286 1.405029        NaN 0.3960465 0.2131890         NA
97  0.6666667  4.2857143 1.405029        NaN 0.3960465 0.2131890         NA
98  0.6666667  5.0000000 1.405029        NaN 0.3960465 0.2131890         NA
99  0.6666667  5.7142857 1.405029        NaN 0.3960465 0.2131890         NA
100 0.6666667  6.4285714 1.405029        NaN 0.3960465 0.2131890         NA
101 0.6666667  7.1428571 1.405029        NaN 0.3960465 0.2131890         NA
102 0.6666667  7.8571429 1.405029        NaN 0.3960465 0.2131890         NA
103 0.6666667  8.5714286 1.405029        NaN 0.3960465 0.2131890         NA
104 0.6666667  9.2857143 1.405029        NaN 0.3960465 0.2131890         NA
105 0.6666667 10.0000000 1.405029        NaN 0.3960465 0.2131890         NA
106 0.7777778  0.0000000 1.310090 0.13495421 0.3941335 0.2110981 0.02778206
107 0.7777778  0.7142857 1.405029        NaN 0.3960465 0.2131890         NA
108 0.7777778  1.4285714 1.405029        NaN 0.3960465 0.2131890         NA
109 0.7777778  2.1428571 1.405029        NaN 0.3960465 0.2131890         NA
110 0.7777778  2.8571429 1.405029        NaN 0.3960465 0.2131890         NA
111 0.7777778  3.5714286 1.405029        NaN 0.3960465 0.2131890         NA
112 0.7777778  4.2857143 1.405029        NaN 0.3960465 0.2131890         NA
113 0.7777778  5.0000000 1.405029        NaN 0.3960465 0.2131890         NA
114 0.7777778  5.7142857 1.405029        NaN 0.3960465 0.2131890         NA
115 0.7777778  6.4285714 1.405029        NaN 0.3960465 0.2131890         NA
116 0.7777778  7.1428571 1.405029        NaN 0.3960465 0.2131890         NA
117 0.7777778  7.8571429 1.405029        NaN 0.3960465 0.2131890         NA
118 0.7777778  8.5714286 1.405029        NaN 0.3960465 0.2131890         NA
119 0.7777778  9.2857143 1.405029        NaN 0.3960465 0.2131890         NA
120 0.7777778 10.0000000 1.405029        NaN 0.3960465 0.2131890         NA
121 0.8888889  0.0000000 1.310089 0.13495484 0.3941360 0.2110980 0.02778196
122 0.8888889  0.7142857 1.405029        NaN 0.3960465 0.2131890         NA
123 0.8888889  1.4285714 1.405029        NaN 0.3960465 0.2131890         NA
124 0.8888889  2.1428571 1.405029        NaN 0.3960465 0.2131890         NA
125 0.8888889  2.8571429 1.405029        NaN 0.3960465 0.2131890         NA
126 0.8888889  3.5714286 1.405029        NaN 0.3960465 0.2131890         NA
127 0.8888889  4.2857143 1.405029        NaN 0.3960465 0.2131890         NA
128 0.8888889  5.0000000 1.405029        NaN 0.3960465 0.2131890         NA
129 0.8888889  5.7142857 1.405029        NaN 0.3960465 0.2131890         NA
130 0.8888889  6.4285714 1.405029        NaN 0.3960465 0.2131890         NA
131 0.8888889  7.1428571 1.405029        NaN 0.3960465 0.2131890         NA
132 0.8888889  7.8571429 1.405029        NaN 0.3960465 0.2131890         NA
133 0.8888889  8.5714286 1.405029        NaN 0.3960465 0.2131890         NA
134 0.8888889  9.2857143 1.405029        NaN 0.3960465 0.2131890         NA
135 0.8888889 10.0000000 1.405029        NaN 0.3960465 0.2131890         NA
136 1.0000000  0.0000000 1.310089 0.13495544 0.3941386 0.2110976 0.02778169
137 1.0000000  0.7142857 1.405029        NaN 0.3960465 0.2131890         NA
138 1.0000000  1.4285714 1.405029        NaN 0.3960465 0.2131890         NA
139 1.0000000  2.1428571 1.405029        NaN 0.3960465 0.2131890         NA
140 1.0000000  2.8571429 1.405029        NaN 0.3960465 0.2131890         NA
141 1.0000000  3.5714286 1.405029        NaN 0.3960465 0.2131890         NA
142 1.0000000  4.2857143 1.405029        NaN 0.3960465 0.2131890         NA
143 1.0000000  5.0000000 1.405029        NaN 0.3960465 0.2131890         NA
144 1.0000000  5.7142857 1.405029        NaN 0.3960465 0.2131890         NA
145 1.0000000  6.4285714 1.405029        NaN 0.3960465 0.2131890         NA
146 1.0000000  7.1428571 1.405029        NaN 0.3960465 0.2131890         NA
147 1.0000000  7.8571429 1.405029        NaN 0.3960465 0.2131890         NA
148 1.0000000  8.5714286 1.405029        NaN 0.3960465 0.2131890         NA
149 1.0000000  9.2857143 1.405029        NaN 0.3960465 0.2131890         NA
150 1.0000000 10.0000000 1.405029        NaN 0.3960465 0.2131890         NA
          MAESD
1   0.009609856
2   0.010063936
3   0.010583687
4   0.010900016
5   0.011074111
6   0.011122500
7   0.011116271
8   0.011099240
9   0.011064306
10  0.011047643
11  0.011028548
12  0.011011269
13  0.010994676
14  0.010977807
15  0.010959513
16  0.009557184
17  0.010812055
18  0.011119955
19  0.011071925
20  0.010902115
21  0.010692665
22  0.010692665
23  0.010692665
24  0.010692665
25  0.010692665
26  0.010692665
27  0.010692665
28  0.010692665
29  0.010692665
30  0.010692665
31  0.009556081
32  0.011052038
33  0.011011416
34  0.010692665
35  0.010692665
36  0.010692665
37  0.010692665
38  0.010692665
39  0.010692665
40  0.010692665
41  0.010692665
42  0.010692665
43  0.010692665
44  0.010692665
45  0.010692665
46  0.009552755
47  0.011238796
48  0.010692665
49  0.010692665
50  0.010692665
51  0.010692665
52  0.010692665
53  0.010692665
54  0.010692665
55  0.010692665
56  0.010692665
57  0.010692665
58  0.010692665
59  0.010692665
60  0.010692665
61  0.009546359
62  0.011122548
63  0.010692665
64  0.010692665
65  0.010692665
66  0.010692665
67  0.010692665
68  0.010692665
69  0.010692665
70  0.010692665
71  0.010692665
72  0.010692665
73  0.010692665
74  0.010692665
75  0.010692665
76  0.009546114
77  0.010692665
78  0.010692665
79  0.010692665
80  0.010692665
81  0.010692665
82  0.010692665
83  0.010692665
84  0.010692665
85  0.010692665
86  0.010692665
87  0.010692665
88  0.010692665
89  0.010692665
90  0.010692665
91  0.009546526
92  0.010692665
93  0.010692665
94  0.010692665
95  0.010692665
96  0.010692665
97  0.010692665
98  0.010692665
99  0.010692665
100 0.010692665
101 0.010692665
102 0.010692665
103 0.010692665
104 0.010692665
105 0.010692665
106 0.009547408
107 0.010692665
108 0.010692665
109 0.010692665
110 0.010692665
111 0.010692665
112 0.010692665
113 0.010692665
114 0.010692665
115 0.010692665
116 0.010692665
117 0.010692665
118 0.010692665
119 0.010692665
120 0.010692665
121 0.009547573
122 0.010692665
123 0.010692665
124 0.010692665
125 0.010692665
126 0.010692665
127 0.010692665
128 0.010692665
129 0.010692665
130 0.010692665
131 0.010692665
132 0.010692665
133 0.010692665
134 0.010692665
135 0.010692665
136 0.009546941
137 0.010692665
138 0.010692665
139 0.010692665
140 0.010692665
141 0.010692665
142 0.010692665
143 0.010692665
144 0.010692665
145 0.010692665
146 0.010692665
147 0.010692665
148 0.010692665
149 0.010692665
150 0.010692665
