feature,Gain,IncNodePurity,High,Low
P_a3,0.000463921,130722.0887,1,0
P_a1,0.000533001,133912.2362,1,0
P_a4,0.000428812,134255.973,1,0
trend.PUMA_a_1,0.002202072,135194.7411,1,0
P_a2,0.000697727,135675.7279,1,0
P_b1,0.074908856,136946.3718,1,0
trend.UnderArmour_b1,0.002202095,137512.4897,1,0
trend.adidas_a_4,0.000841716,139508.6184,1,0
stock.units.cutCut9,0.004360116,141620.2445,1,0
trend.Converse_a_1,0.002819539,149852.0249,1,0
discount_a3,0.000744224,156878.5941,1,0
trend.asics_b1,0.006633363,157074.417,1,0
discount_a4,0.000666209,157542.99,1,0
discount_a2,0.0023968,158370.4896,1,0
trend.bonton_a_2,0.001471649,161162.6704,1,0
trend.Reebok_a_1,0.003212588,162004.7399,1,0
discount_b1,0.043634825,165217.0608,1,0
discount_a1,0.000860173,165250.1483,1,0
stock.units.cutCut2,0.004631387,173285.2247,1,0
trend.Uhlsport_a_4,0.001727276,174724.8206,1,0
P_ind_ifB,0.00643248,179065.6403,1,0
trend.coupon_a_3,0.00168135,181088.3209,1,0
date.day,0.012010957,183800.7337,1,0
trend.asics_a_1,0.001987213,194664.4856,1,0
trend.11teamsports_a_3,0.002412374,207378.6432,1,0
trend.11teamsports_a_2,0.002105599,208727.2968,1,0
trend.Jordan_a_2,0.002038319,215134.0437,1,0
trend.Amazon_b1,0.010013127,220737.9282,1,0
date.age,0.019695162,253636.5215,1,0
trend.Jordan_a_3,0.001821003,259906.8783,1,0
stock.units.cut_freq,0.153590238,1003914.336,1,0
