feature,Gain,IncNodePurity,High,Low
color.coldorwarmneutral,0.000312528,10291.54912,0,0
mainCategory15,0.000302201,10338.67972,0,0
color.richXbrand.other.team_freq,NA,10532.78777,0,1
subCategory8,0.001652738,10601.77106,0,0
color.rich_freq,1.99E-05,10719.072,0,0
brand.other.playerXrelweekday_freq,1.84E-06,11058.16725,0,0
subCategory16,0.001040384,11120.88392,0,0
relweekdaySunday,NA,11215.56455,0,1
size.shape_freq,NA,11268.73108,0,1
size.shapenormal,0.002495417,12098.75412,1,0
color.richXbrand.Football.team_freq,1.17E-05,12181.95432,0,0
brand.NBA.teamXrelmonthweek_freq,1.88E-06,12265.22478,0,0
relday,0.000647794,12356.00764,0,0
brandNike,0.001481103,12420.11224,0,0
brand.other.teamXrelmonthweek_freq,1.12E-06,12478.94966,0,0
brand.Football.playerXrelweekday_freq,2.01E-05,12543.87162,0,0
date.wm2,4.10E-05,12924.76196,0,0
colorweiss,0.00297615,12946.71286,1,0
brand.other.playerXmainCategory_freq,1.01E-06,13049.5621,0,0
color.richXbrand.other.player_freq,7.33E-08,13070.86102,0,0
brand.Football.teamXmainCategory_freq,2.56E-05,13102.13162,0,0
brand.topXrelweekday_freq,0.000122699,13199.40477,0,0
brand.Football.teamXrelmonthweek_freq,1.11E-06,13435.55307,0,0
size.body_freq,0.000663188,13489.95198,0,0
color.richXbrand.Football.player_freq,1.28E-06,13729.64797,0,0
date.wm4,1.79E-05,13925.36101,0,0
color.richXbrand.competition_freq,0.000123665,13942.5963,0,0
brand.Football.playerXmainCategory_freq,0.000323067,13957.45299,0,0
NewRelease_freq,NA,14028.88118,0,1
brand.NBA.teamXrelweekday_freq,1.70E-06,14087.10619,0,0
brand.Football.playerXrelmonthweek_freq,1.77E-06,14162.76405,0,0
color.richXsize.child.cloth_freq,9.96E-05,14189.65579,0,0
size.child.clothXrelmonthweek_freq,2.89E-05,14234.97457,0,0
brand.nation_freq,7.08E-05,14239.99385,0,0
colorschwarz,0.00199861,14265.88282,1,0
brand.NBA.playerXrelmonthweek_freq,2.97E-06,14297.92764,0,0
brand.other.playerXrelmonthweek_freq,NA,14613.39171,0,1
brand.other.teamXsize.shape_freq,9.08E-07,14618.1197,0,0
color.richXbrand.NBA.player_freq,NA,14625.55817,0,1
brand.other.playerXsize.shape_freq,1.79E-06,14645.93926,0,0
color.richXbrand.NBA.team_freq,8.45E-06,14650.35429,0,0
brand.competitionXrelweekday_freq,1.04E-05,14675.71646,0,0
color.richXbrand.top_freq,2.54E-05,14994.15523,0,0
size.child.clothXrelweekday_freq,0.000181172,15050.90083,0,0
brand.NBA.playerXrelweekday_freq,7.80E-07,15396.31518,0,0
brand.Football.playerXsize.shape_freq,0.000215467,15531.03637,0,0
brand.topXrelmonthweek_freq,2.79E-05,15684.86937,0,0
brand.Football.playerXsize.body_freq,0.000220135,15740.36804,0,0
brand.Football.teamXsize.shape_freq,4.15E-05,15759.63805,0,0
brand.other.teamXmainCategory_freq,NA,15803.92305,0,1
brand.topXsize.shape_freq,0.000134616,15843.93083,0,0
brand.competitionXsize.shape_freq,0.000199532,16069.91566,0,0
brand.other.teamXsize.body_freq,1.30E-06,16184.83343,0,0
brand.Football.teamXsize.body_freq,0.000171647,16190.85916,0,0
brand.competitionXrelmonthweek_freq,4.75E-08,16537.28927,0,0
brand.NBA.playerXsize.shape_freq,3.06E-07,16538.25984,0,0
brand.other.playerXsize.body_freq,1.65E-05,16582.02485,0,0
brand.NBA.teamXsize.shape_freq,7.33E-05,16828.85917,0,0
brand.NBA.playerXsize.body_freq,1.97E-05,16995.85899,0,0
brand.German.football.club,0.000612573,17023.24127,0,0
brand.German.player,0.001744554,17147.57761,0,0
brand.topXsize.body_freq,0.000317442,17523.30637,0,0
brand.NBA.teamXsize.body_freq,0.000403863,17701.05439,0,0
relweekday_freq,3.36E-05,17805.34786,0,0
mainCategory_freq,0.000111478,18016.50295,0,0
brand.topXmainCategory_freq,5.41E-05,18062.70292,0,0
brand.NBA.teamXmainCategory_freq,4.05E-05,18178.09063,0,0
brand.competitionXsize.body_freq,0.00021804,18502.49971,0,0
brand.other.teamXrelweekday_freq,NA,18563.3648,0,1
brand.popularity_freq,2.40E-05,18681.03545,0,0
color.coldorwarm_freq,NA,18705.07145,0,1
brand.competitionXmainCategory_freq,6.97E-05,19217.9586,0,0
brand.Football.teamXrelweekday_freq,9.10E-05,19333.91511,0,0
brand.popularityXsize.child.cloth_freq,0.000220498,19845.18223,0,0
brand.group_freq,5.90E-05,19901.94259,0,0
color.richXrelweekday_freq,0.000106462,20294.26434,0,0
color.coldorwarmXbrand.other.team_freq,9.06E-07,20496.28688,0,0
color.coldorwarmXbrand.Football.team_freq,0.000226211,20787.65936,0,0
color.richXrelmonthweek_freq,3.03E-05,20802.02972,0,0
brand.nationXsize.child.cloth_freq,0.000353698,21141.82318,0,0
size.bodyXrelmonthweek_freq,7.60E-05,21181.11333,0,0
color.coldorwarmXsize.child.cloth_freq,0.00069243,21317.2983,0,0
brand.NBA.playerXmainCategory_freq,6.61E-06,21596.34504,0,0
color.richXsize.shape_freq,0.000297138,21627.58582,0,0
color.coldorwarmXbrand.Football.player_freq,0.000420074,21906.20395,0,0
stock.cut.2.5.4.5.,0.001687442,22011.19475,0,0
color.coldorwarmXbrand.competition_freq,0.000410988,22159.89452,0,0
color.coldorwarmXbrand.other.player_freq,1.18E-05,22170.07449,0,0
color.coldorwarmXbrand.NBA.player_freq,2.64E-07,22651.65292,0,0
color.richXsize.body_freq,0.000494819,23288.00654,0,0
size.shapeXrelweekday_freq,0.000476508,23296.17334,0,0
brand.other.teamXsize3_freq,3.21E-07,23448.14512,0,0
color.coldorwarmXbrand.top_freq,0.000329855,23508.62118,0,0
stock.units.cutCut5,0.004795464,23749.5067,1,0
size3_freq,0.000908205,23786.72048,0,0
brand_freq,0.000102539,23912.7501,0,0
stock.cut.4.5.14.5.,0.000571988,23929.06231,0,0
brand.groupXsize.child.cloth_freq,0.000208675,23956.47016,0,0
mainCategoryXsize.shape_freq,0.00135815,23966.77579,0,0
size.shapeXrelmonthweek_freq,9.82E-05,23972.94457,0,0
brand.Football.teamXsize3_freq,0.000391508,24308.02619,0,0
pid.cut.20896..22881.,0.00506057,24523.1915,1,0
color.richXbrand.nation_freq,0.000113378,24576.80747,0,0
brand.Football.teamXcategory_freq,0.00031883,24742.22851,0,0
brand.other.playerXcategory_freq,3.08E-05,24808.57518,0,0
color.coldorwarmXbrand.NBA.team_freq,0.000125618,24912.40564,0,0
brand.topXcategory_freq,0.000720834,24958.20911,0,0
brand.topXsize3_freq,0.000415776,25069.00456,0,0
category_freq,0.000306193,25210.74778,0,0
mainCategoryXrelmonthweek_freq,9.68E-06,25308.67044,0,0
color.richXmainCategory_freq,0.000151019,25441.78263,0,0
brand.competitionXcategory_freq,0.000131545,25476.1954,0,0
brand.nationXsize.body_freq,0.00067687,25541.31528,0,0
brand.other.teamXcategory_freq,NA,25948.18131,0,1
mainCategoryXsize.child.cloth_freq,0.000420841,26089.32237,0,0
brand.nationXsize.shape_freq,0.000895151,26242.39427,0,0
brandXsize.child.cloth_freq,0.000497311,26512.23068,0,0
brand.Football.playerXsize3_freq,0.000368288,26593.4379,0,0
brand.other.playerXsize3_freq,2.82E-05,26691.16378,0,0
mainCategoryXsize.body_freq,0.001087046,26701.91432,0,0
brand.NBA.teamXcategory_freq,0.000335025,26848.12425,0,0
brand.popularityXrelmonthweek_freq,0.000214191,26971.98353,0,0
color.richXbrand.popularity_freq,6.44E-05,27110.21255,0,0
size.bodyXrelweekday_freq,0.000470121,27160.7495,0,0
brand.nationXmainCategory_freq,0.000561331,27181.33689,0,0
brand.NBA.teamXsize3_freq,0.00025508,27370.87259,0,0
brand.popularityXsize.shape_freq,0.000282293,27592.19886,0,0
brand.NBA.playerXcategory_freq,1.30E-05,27594.97115,0,0
brand.Football.playerXcategory_freq,0.001262445,27652.87228,0,0
brand.NBA.playerXsize3_freq,2.15E-05,27750.65425,0,0
brandXrelweekday_freq,0.000466979,27756.72785,0,0
color.coldorwarmXrelmonthweek_freq,7.93E-05,27923.13051,0,0
categoryXsize.child.cloth_freq,0.001396762,28376.94198,0,0
brand.competitionXsize3_freq,0.000526776,28748.31654,0,0
pid.cut.10000..12938.,0.005343158,28816.54205,1,0
brand.groupXrelmonthweek_freq,2.82E-05,29104.58697,0,0
brand.groupXrelweekday_freq,5.84E-05,29347.76414,0,0
brand.popularityXrelweekday_freq,0.000281132,30158.18935,0,0
brand.nationXrelweekday_freq,0.000172165,30285.60737,0,0
color.coldorwarmXbrand.nation_freq,0.001168603,30378.27655,0,0
mainCategoryXrelweekday_freq,0.000331486,30512.52937,0,0
brand.popularityXsize.body_freq,0.000305879,30526.73219,0,0
pid.cut.17662..20896.,0.006253163,30826.80599,1,0
color.richXbrand.group_freq,0.000105676,30868.70223,0,0
brandXsize.shape_freq,0.002118665,31039.62722,1,0
categoryXrelmonthweek_freq,0.000177045,31166.16798,0,0
categoryXsize.body_freq,0.001616275,31318.32292,0,0
color.coldorwarmXrelweekday_freq,0.000511356,31323.62021,0,0
brand.groupXsize.shape_freq,0.000487287,31607.91344,0,0
color.richXsize3_freq,0.000734838,31765.88914,0,0
color.coldorwarmXsize.shape_freq,0.002120834,31901.53625,1,0
brandXrelmonthweek_freq,0.000169616,32066.16065,0,0
size3Xrelweekday_freq,0.000723663,32072.10847,0,0
brand.nationXcategory_freq,0.003169655,32225.29627,1,0
stock.units.cutCut4,0.002575754,32399.65934,1,0
brand.popularityXmainCategory_freq,0.000283644,32501.00938,0,0
size3Xrelmonthweek_freq,0.000177729,32553.20461,0,0
color.coldorwarmXsize.body_freq,0.002327677,32741.93424,1,0
color.richXcategory_freq,0.001279666,33125.22165,0,0
brandXmainCategory_freq,0.001545534,33461.99858,0,0
brand.groupXmainCategory_freq,0.000128709,33740.28306,0,0
color.coldorwarmXmainCategory_freq,0.001018147,33774.61008,0,0
categoryXsize.shape_freq,0.001595099,33804.58543,0,0
color.richXbrand_freq,0.000322344,34300.19512,0,0
brandXsize.body_freq,0.002202515,34950.20763,1,0
stock.units.cutCut6,0.003921657,35115.70756,1,0
brand.nationXrelmonthweek_freq,0.000397313,35359.69015,0,0
brand.groupXsize.body_freq,0.000235258,35478.4568,0,0
color.coldorwarmXbrand.popularity_freq,0.000728808,35545.47434,0,0
brand.topXsize4_freq,0.000414278,35874.27086,0,0
brand.nationXsize3_freq,0.001619468,35922.94831,0,0
categoryXrelweekday_freq,0.001032501,35941.16665,0,0
size4_freq,0.001421935,35962.85527,0,0
mainCategoryXsize3_freq,0.00135034,36267.17794,0,0
size2_freq,0.00207059,37240.96542,1,0
brand.other.teamXsize4_freq,2.88E-05,37587.02271,0,0
mainCategoryXsize4_freq,0.00228133,37835.80799,1,0
color.coldorwarmXbrand.group_freq,0.000338223,38196.07361,0,0
brand.competitionXsize4_freq,0.000884826,38596.45116,0,0
brand.popularityXcategory_freq,0.000673191,38650.84097,0,0
categoryXsize3_freq,0.000492194,38750.67559,0,0
