,feature,IncNodePurity1,IncNodePurity2,IncNodePurity3,Gain,Gain1,Gain2,Gain3,High1(7),High2(6),Low1(5-50),Low2(6-100),RF_High,GB_High,RF_Low,GB_Low
554,trend.NikeXbrand.other.player_freq,642.7944221,580.1783525,582.042905,3.15E-06,4.02E-06,6.07E-06,1.75E-06,0,0,0,0,0,0,0,0
555,color_freq,525.5823228,579.1732071,512.8177398,0.000128405,0.00016463,0.0001298,0.000123238,0,0,0,0,0,0,0,0
556,brand.NBA.teamXsize2_freq,573.3283721,578.0946382,583.8528818,0.002033275,0.002295119,0.001487785,0.001495414,0,0,0,0,0,1,0,0
557,trend.asicsXbrand.top_freq,734.9542935,576.2954785,616.4557766,0.000127517,0.000409559,0.000125469,0.000193175,0,0,0,0,0,0,0,0
558,trend.PUMAXbrand.Football.player_freq,690.8127015,575.0295544,682.9239389,0.000124147,0.000228482,0.000177488,0.000145064,0,0,0,0,0,0,0,0
559,brand.topXsize4_freq,574.5707002,574.9140402,552.8333937,0.000109399,7.81E-05,9.38E-05,9.93E-05,0,0,0,0,0,0,0,0
560,trend.asicsXbrand.NBA.team_freq,687.4949411,571.7265481,644.0367672,0.000205517,0.000325541,0.000265689,0.000540321,0,0,0,0,0,0,0,0
561,trend.ConverseXbrand.other.team_freq,706.7646,571.6751226,526.3760663,1.65E-06,1.75E-07,3.21E-06,9.75E-07,0,0,0,0,0,0,0,0
562,trend.Jordan,724.8850291,571.624867,551.4700884,0.000695914,0.000440113,0.000589587,0.0005268,0,0,0,0,0,0,0,0
563,trend.Under.ArmourXbrand.NBA.team_freq,716.2062717,570.8670207,628.8200641,0.000133429,0.000231955,0.000242329,0.000179807,0,0,0,0,0,0,0,0
564,brand.popularityXcategory_freq,950.0294809,570.0415904,503.1736807,0.00012304,0.000140875,0.000175332,0.000139917,0,0,0,0,0,0,0,0
565,trend.asicsXbrand.competition_freq,808.0938623,568.9937523,656.0344941,0.000187688,0.000295971,0.000335971,0.000417256,0,0,0,0,0,0,0,0
566,trend.JakoXbrand.top_freq,627.2836527,568.1767964,543.7348301,8.65E-05,0.000112915,8.23E-05,0.000149734,0,0,0,0,0,0,0,0
567,trend.Under.ArmourXbrand.Football.team_freq,606.2305707,567.9377202,539.7913675,3.85E-05,2.41E-05,3.70E-05,5.35E-05,0,0,0,0,0,0,0,0
568,brand.popularityXmainCategory_freq,668.2962924,566.4316972,423.7287959,7.35E-05,8.01E-05,6.71E-05,7.60E-05,0,0,0,0,0,0,0,0
569,trend.couponXbrand.other.player_freq,579.8134861,566.2688713,543.6948246,9.01E-06,9.45E-06,5.37E-06,6.31E-06,0,0,0,0,0,0,0,0
570,trend.Under.ArmourXbrand.NBA.player_freq,683.8329987,564.4022542,552.125238,3.74E-06,4.69E-06,1.24E-06,5.84E-06,0,0,0,0,0,0,0,0
571,trend.ConverseXsize.shape_freq,741.2997047,562.513256,638.9646375,0.000608751,0.000669801,0.000725626,0.000733359,0,0,0,0,0,0,0,0
572,trend.ReebokXNewRelease_freq,770.089411,562.2519837,567.6900683,0.000105078,0.00011525,0.000100878,0.00014633,0,0,0,0,0,0,0,0
573,trend.PUMAXbrand.other.team_freq,759.4266444,561.2022657,604.9467652,4.41E-07,1.79E-06,6.09E-07,2.17E-06,0,0,0,0,0,0,0,0
574,trend.JordanXrelweekday_freq,931.1109219,560.9993448,603.288155,0.00012546,0.00019456,8.80E-05,0.00023641,0,0,0,0,0,0,0,0
575,trend.adidasXbrand.top_freq,632.7434566,560.620077,487.9677521,6.65E-05,0.000155586,4.16E-05,7.89E-05,0,0,0,0,0,0,0,0
576,size2Xrelmonthweek_freq,1406.340128,559.5451355,577.345128,7.13E-05,6.44E-05,9.10E-05,8.01E-05,0,0,0,0,0,0,0,0
577,trend.ReebokXcolor.rich_freq,811.1184654,559.3665567,592.2641128,0.000221221,0.000300981,0.000253498,0.000325053,0,0,0,0,0,0,0,0
578,trend.JordanXbrand.NBA.player_freq,687.3861269,558.9015157,657.0773647,1.70E-06,8.69E-06,6.61E-07,2.62E-06,0,0,0,0,0,0,0,0
579,brand.competitionXsize4_freq,578.1210375,557.7496417,545.4060072,0.000156142,0.000123348,0.000187506,0.000277073,0,0,0,0,0,0,0,0
580,trend.ReebokXrelmonthweek_freq,579.7470138,557.4698329,678.2466245,5.71E-05,6.64E-05,5.64E-05,7.02E-05,0,0,0,0,0,0,0,0
581,brand.nationXmainCategory_freq,467.8709338,557.3266899,407.7154673,0.000116934,0.000135881,9.04E-05,0.000140773,0,0,0,0,0,0,0,0
582,trend.JakoXbrand.Football.player_freq,672.2500001,557.1177443,561.4745124,0.000200973,0.00021204,0.000224341,0.000193457,0,0,0,0,0,0,0,0
583,trend.ReebokXbrand.other.team_freq,492.5369979,556.8232056,567.8964902,8.22E-07,5.62E-06,2.37E-06,2.29E-06,0,0,0,0,0,0,0,0
584,trend.asicsXbrand.other.team_freq,835.2669391,554.0139395,624.8946153,1.82E-06,3.77E-06,2.53E-06,3.59E-06,0,0,0,0,0,0,0,0
585,trend.11teamsporting43Xbrand.competition_freq,698.8147354,553.5311047,477.8125554,0.000196951,0.000189552,0.000195048,0.000424264,0,0,0,0,0,0,0,0
586,size4_freq,768.5606246,551.0317115,473.700741,0.000203604,0.000233999,0.000245535,0.000224355,0,0,0,0,0,0,0,0
587,trend.JakoXsize.child.cloth_freq,602.5349005,548.8770426,678.7930789,0.000505135,0.000494004,0.000490608,0.000510194,0,0,0,0,0,0,0,0
588,trend.JordanXbrand.Football.team_freq,631.8615257,548.6404045,626.9081496,4.02E-05,6.72E-05,6.09E-05,8.09E-05,0,0,0,0,0,0,0,0
589,trend.adidasXbrand.NBA.player_freq,561.8958449,548.1434071,514.5465337,9.96E-07,2.82E-07,1.16E-06,8.61E-07,0,0,0,0,0,0,0,0
590,price.cut.FS29G3,617.5497801,547.8204682,539.1830752,NA,NA,NA,NA,0,0,0,0,0,0,0,1
591,brand.Football.playerXsize2_freq,479.2340068,547.8125598,450.3245795,0.000228072,0.000102646,0.000116298,9.75E-05,0,0,0,0,0,0,0,0
592,trend.Reebok,540.296456,547.4668574,411.4231349,0.000344254,0.000260352,0.000394014,0.000273729,0,0,0,0,0,0,0,0
593,trend.PUMA,755.9787378,547.2641461,635.1653249,0.000396282,0.000422402,0.000457045,0.000402586,0,0,0,0,0,0,0,0
594,brand.Football.teamXsize4_freq,732.68253,545.099025,561.3364169,3.21E-05,4.24E-05,5.00E-05,5.51E-05,0,0,0,0,0,0,0,0
595,trend.coupon,683.4364708,544.9595898,653.2471844,0.000874611,0.000886044,0.000807698,0.000823113,1,1,0,0,1,1,0,0
596,trend.ReebokXbrand.NBA.team_freq,724.6868931,543.7082483,610.7568592,0.000110476,0.000158141,0.000138656,0.0001776,0,0,0,0,0,0,0,0
597,trend.ReebokXrelweekday_freq,1095.668625,536.3424241,595.1344189,5.64E-05,4.97E-05,6.75E-05,6.33E-05,0,0,0,0,0,0,0,0
598,trend.amazonXbrand.NBA.player_freq,788.2567359,536.0663356,556.7548447,1.27E-06,6.00E-06,5.60E-06,9.94E-06,0,0,0,0,0,0,0,0
599,trend.amazon,708.525724,535.9786056,578.4931499,0.001152796,0.001080249,0.001099134,0.001117843,1,1,0,0,1,1,0,0
600,trend.Under.Armour,544.4379496,535.3673639,662.2853222,0.00042358,0.000387361,0.000385767,0.000397065,0,0,0,0,0,0,0,0
601,trend.JakoXbrand.other.team_freq,599.0944159,533.625899,578.5257226,2.08E-06,3.86E-06,2.24E-06,4.91E-06,0,0,0,0,0,0,0,0
602,trend.JordanXNewRelease_freq,836.2016083,533.5805003,538.9036563,0.00017385,0.000214772,0.000192563,0.000246941,0,0,0,0,0,0,0,0
603,brand.competitionXcategory_freq,308.0543773,530.6326797,368.1391146,5.90E-05,0.00014679,4.65E-05,7.18E-05,0,0,0,0,0,0,0,0
604,trend.JordanXbrand.other.player_freq,624.3716318,529.8143397,505.1834427,5.27E-06,4.03E-06,8.56E-06,7.80E-06,0,0,0,0,0,0,0,0
605,brand.other.teamXsize4_freq,501.9573279,529.2397711,477.7157244,1.13E-06,2.07E-06,1.70E-06,1.10E-06,0,0,0,0,0,0,0,0
606,subCategory16,544.8594627,528.676444,435.2639286,0.000337579,0.000397634,0.00038667,0.000362767,0,0,0,0,0,0,0,0
607,trend.adidasXbrand.other.team_freq,519.6036389,528.3792727,537.1235561,7.07E-07,4.10E-07,2.79E-06,2.48E-07,0,0,0,0,0,0,0,0
608,trend.couponXbrand.competition_freq,574.3185839,526.0486929,646.6386525,0.000163317,0.000179902,0.000170345,0.000235665,0,0,0,0,0,0,0,0
609,trend.ConverseXbrand.other.player_freq,601.3200496,522.3971279,526.1389693,9.21E-06,9.53E-06,4.04E-06,5.63E-06,0,0,0,0,0,0,0,0
610,brand.Football.playerXcategory_freq,756.6186412,521.9670341,385.8858462,8.79E-05,6.87E-05,7.26E-05,6.59E-05,0,0,0,0,0,0,0,0
611,trend.NikeXbrand.Football.player_freq,726.8505659,521.8639424,576.2827412,0.00018803,0.000110976,0.000244506,0.000153243,0,0,0,0,0,0,0,0
612,trend.KangaROOSXbrand.other.team_freq,680.7129074,520.8540371,739.6645023,2.99E-07,2.90E-08,1.91E-06,7.07E-07,0,0,0,0,0,0,0,0
613,trend.amazonXbrand.other.team_freq,811.7557106,519.7923036,645.9704774,3.52E-06,4.50E-06,2.50E-06,4.48E-06,0,0,0,0,0,0,0,0
614,trend.Jako,641.791085,519.6021449,518.698203,0.000549865,0.000673599,0.000548848,0.000587895,0,0,0,0,0,0,0,0
615,brand.popularityXrelweekday_freq,481.2835415,518.0452436,534.0759399,2.27E-05,4.37E-05,3.49E-05,3.23E-05,0,0,0,0,0,0,0,0
616,trend.JordanXbrand.competition_freq,608.3982756,516.2448612,569.7134813,0.000131495,0.000142332,0.000242996,0.000188463,0,0,0,0,0,0,0,0
617,trend.ReebokXbrand.Football.player_freq,591.5429931,515.9949462,528.4041213,0.000105249,0.000194347,9.61E-05,0.000118342,0,0,0,0,0,0,0,0
618,brandXmainCategory_freq,952.6440352,514.734689,351.4879382,0.00049089,0.000304406,0.000302963,0.000236714,0,0,0,0,0,0,0,0
619,trend.ReebokXbrand.top_freq,790.3382628,514.427876,599.8279235,3.13E-05,8.26E-05,5.66E-05,0.000102391,0,0,0,0,0,0,0,0
620,trend.amazonXbrand.other.player_freq,526.044526,508.9196244,729.9664281,4.15E-06,3.13E-06,4.59E-06,6.74E-06,0,0,0,0,0,0,0,0
621,trend.Under.ArmourXbrand.competition_freq,808.1017645,508.4549529,487.5543304,0.000108967,0.000159651,0.00015049,0.000134304,0,0,0,0,0,0,0,0
622,size4Xrelmonthweek_freq,1022.572181,507.8474367,679.6911277,6.53E-05,3.98E-05,7.60E-05,8.02E-05,0,0,0,0,0,0,0,0
623,trend.Converse,613.4049754,507.6682024,491.4935408,0.000572223,0.000596623,0.000495598,0.000594905,0,0,0,0,0,0,0,0
624,trend.NikeXbrand.competition_freq,657.47497,505.9060458,521.8868294,0.000196752,9.52E-05,0.00011952,0.000155808,0,0,0,0,0,0,0,0
625,trend.UhlsportXbrand.popularity_freq,484.7476305,502.6930601,410.7317394,0.000124687,0.000122083,0.000113671,0.000120479,0,0,0,0,0,0,0,0
626,trend.ReebokXbrand.competition_freq,545.15976,502.1388657,536.6606442,7.54E-05,0.000111411,0.000111546,7.96E-05,0,0,0,0,0,0,0,0
627,trend.Under.ArmourXbrand.other.team_freq,603.9707734,501.8483393,511.4759136,1.51E-06,2.37E-06,2.15E-06,9.45E-07,0,0,0,0,0,0,0,0
628,categoryXsize.body_freq,828.3206202,498.376084,603.9490067,0.000255758,0.000332046,0.000323369,0.000401898,0,0,0,0,0,0,0,0
629,trend.amazonXbrand.competition_freq,655.6560781,497.0669521,645.9517151,0.000112458,0.000229601,9.97E-05,0.000191028,0,0,0,0,0,0,0,0
630,pid.cut.17662..20896.,548.031115,493.2375196,654.7736555,0.001708708,0.001274933,0.001213687,0.00128917,0,0,0,0,0,1,0,0
631,brand.Football.teamXcategory_freq,379.5794721,492.9277497,311.443294,5.20E-05,4.25E-05,8.72E-06,1.25E-05,0,0,0,0,0,0,0,0
632,brand.NBA.teamXcategory_freq,416.0869215,490.8875911,429.8235397,8.26E-05,6.30E-05,7.59E-05,5.70E-05,0,0,0,0,0,0,0,0
633,size2_freq,872.7159245,490.3384434,508.5032052,0.00038678,0.000269921,0.000309579,0.00082796,0,0,0,0,0,0,0,0
634,color.coldorwarmXbrand.popularity_freq,526.8953986,489.3486327,530.3990353,0.000137427,9.71E-05,0.00010835,0.00011806,0,0,0,0,0,0,0,0
635,color.richXcategory_freq,498.3533888,487.7719039,499.6455317,0.000231564,0.000204179,0.000194888,0.000265452,0,0,0,0,0,0,0,0
636,color.coldorwarmXbrand.nation_freq,519.4069838,486.9075174,377.7833005,0.000373892,0.000270286,0.000425139,0.000389171,0,0,0,0,0,0,0,0
637,color.coldorwarmXcategory_freq,641.3717691,484.7434124,522.0591464,0.000398153,0.00043978,0.000330836,0.000361493,0,0,0,0,0,0,0,0
638,trend.adidasXbrand.Football.team_freq,503.2237216,483.1951268,535.1466718,3.82E-05,2.38E-05,1.49E-05,3.00E-05,0,0,0,0,0,0,0,0
639,trend.ConverseXbrand.NBA.team_freq,760.9489939,482.9106308,587.5405519,0.000154335,0.000248514,0.000259997,0.000196705,0,0,0,0,0,0,0,0
640,brand.groupXmainCategory_freq,725.9290519,482.4930441,515.1775223,2.07E-05,1.66E-05,2.06E-05,1.02E-05,0,0,0,0,0,0,0,0
