,feature,IncNodePurity1,IncNodePurity2,IncNodePurity3,Gain,Gain1,Gain2,Gain3,High1(7),High2(6),Low1(5-50),Low2(6-100),RF_High,GB_High,RF_Low,GB_Low
678,trend.UhlsportXbrand.other.team_freq,353.1833534,406.6848362,318.9337121,1.12E-06,1.85E-06,2.25E-07,3.04E-08,0,0,0,0,0,0,0,0
679,trend.UhlsportXmainCategory_freq,418.1090969,404.8503748,453.4820337,0.000212885,0.000234519,0.000337939,0.00031998,0,0,0,0,0,0,0,0
680,color.richXsize.body_freq,411.6313007,401.6523491,306.6257963,9.73E-05,9.30E-05,8.51E-05,0.000107878,0,0,0,0,0,0,0,0
681,trend.UhlsportXcategory_freq,584.0114424,400.5213063,332.4154102,0.000244654,0.00029712,0.000326426,0.000347824,0,0,0,0,0,0,0,0
682,brandXsize.shape_freq,502.3913571,398.6123209,238.3259562,0.000381411,0.000275448,0.000280403,0.000324326,0,0,0,0,0,0,0,0
683,trend.ReebokXbrand.other.player_freq,594.7062729,395.0456084,519.6370662,6.33E-06,1.27E-05,8.67E-07,5.99E-06,0,0,0,0,0,0,0,0
684,trend.UhlsportXbrand.nation_freq,751.780617,393.9430675,455.7814368,0.000260075,0.000413014,0.00018289,0.00035833,0,0,0,0,0,0,0,0
685,color.coldorwarmXmainCategory_freq,431.9912816,393.9319973,347.9970692,0.000370272,0.000308801,0.00036044,0.000313144,0,0,0,0,0,0,0,0
686,trend.UhlsportXcolor.coldorwarm_freq,569.0982098,392.3572957,460.2394277,0.00069252,0.001067248,0.001006039,0.000704844,0,0,0,0,0,0,0,0
687,brand.other.teamXsize3_freq,329.9566661,391.5368688,473.4140153,6.95E-07,2.59E-06,1.91E-06,1.54E-06,0,0,0,0,0,0,0,0
688,brand.nationXrelweekday_freq,328.0031417,391.4534805,209.3653923,2.96E-05,3.61E-05,2.15E-05,3.54E-05,0,0,0,0,0,0,0,0
689,categoryXrelweekday_freq,736.5037581,390.5114551,482.1192719,0.000116832,0.000134233,9.47E-05,0.000107309,0,0,0,0,0,0,0,0
690,brand.groupXsize.body_freq,475.4370174,386.6172815,450.6739261,3.81E-05,2.65E-05,2.59E-05,3.20E-05,0,0,0,0,0,0,0,0
691,price.cut.FS29G2,610.6677069,384.275897,362.1950971,0.00013076,0.000115747,0.000137046,0.00018258,0,0,0,0,0,0,0,0
692,trend.UhlsportXbrand.other.player_freq,534.4653696,380.1989147,353.8204332,2.05E-06,3.54E-06,4.61E-06,5.81E-06,0,0,0,0,0,0,0,0
693,color.coldorwarmXbrand.group_freq,638.7130093,379.6565923,491.9210736,4.85E-05,4.78E-05,6.17E-05,3.82E-05,0,0,0,0,0,0,0,0
694,stock.units.cutCut4,258.3999992,379.3933682,349.195646,0.000432535,0.000465623,0.000382094,0.000451655,0,0,0,0,0,0,0,0
695,mainCategory15,258.712236,376.7758893,264.5528629,0.00013722,0.000197092,0.000162577,0.000192701,0,0,0,0,0,0,0,0
696,category_freq,452.1871309,372.1663283,408.7705922,2.89E-05,3.14E-05,1.97E-05,3.29E-05,0,0,0,0,0,0,0,0
697,color.richXmainCategory_freq,435.3187215,368.7225544,390.1194451,4.65E-05,3.77E-05,4.83E-05,5.47E-05,0,0,0,0,0,0,0,0
698,brand.NBA.teamXsize3_freq,436.0286718,367.2324678,369.1189995,7.18E-05,4.77E-05,6.50E-05,5.84E-05,0,0,0,0,0,0,0,0
699,brand.other.playerXcategory_freq,479.9700759,366.3721519,373.7306673,4.33E-06,4.93E-06,5.81E-06,3.48E-06,0,0,0,0,0,0,0,0
700,brand.Football.playerXsize3_freq,430.7446173,354.2706802,341.8357911,5.28E-05,3.94E-05,6.15E-05,4.92E-05,0,0,0,0,0,0,0,0
701,brand.popularityXsize.shape_freq,295.3199687,351.6613863,416.1248255,3.63E-05,2.08E-05,2.56E-05,6.35E-05,0,0,0,0,0,0,0,0
702,trend.UhlsportXsize.body_freq,421.2521797,350.6113248,359.2337502,0.000503197,0.000464502,0.000614462,0.000563005,0,0,0,0,0,0,0,0
703,brandXrelweekday_freq,395.8135628,349.9788496,392.001011,0.000288694,0.000141417,0.000159114,0.000317763,0,0,0,0,0,0,0,0
704,pid.cut.10000..12938.,544.5243682,347.7434299,430.8996679,0.001312046,0.000942387,0.001075103,0.001084585,0,0,0,0,0,1,0,0
705,trend.UhlsportXbrand.Football.team_freq,504.1143523,347.6183281,310.3368776,2.20E-05,9.67E-06,1.57E-05,2.31E-05,0,0,0,0,0,0,0,0
706,brand.groupXrelweekday_freq,341.7751052,347.5100519,308.038349,3.02E-05,3.49E-05,6.96E-05,1.93E-05,0,0,0,0,0,0,0,0
707,trend.UhlsportXbrand.Football.player_freq,439.6457109,347.0901136,316.0806518,7.14E-05,7.65E-05,6.49E-05,7.69E-05,0,0,0,0,0,0,0,0
708,color.richXbrand_freq,583.7748691,345.1532525,449.2549052,3.99E-05,4.48E-05,2.50E-05,5.89E-05,0,0,0,0,0,0,0,0
709,subCategory22,435.1800037,342.5609856,375.8938519,0.000811348,0.00109969,0.000707352,0.000684601,0,0,0,0,0,0,0,0
710,mainCategoryXsize.child.cloth_freq,309.4780604,341.8545256,247.6462941,0.000104885,5.59E-05,3.40E-05,5.75E-05,0,0,0,0,0,0,0,0
711,brand.other.playerXsize3_freq,459.8127619,341.3192912,387.7678473,2.69E-06,3.75E-06,2.10E-06,6.30E-06,0,0,0,0,0,0,0,0
712,pid.cut.20896..22881.,355.0149665,339.3625505,220.0199997,0.000544548,0.000362609,0.000352615,0.000354234,0,0,0,0,0,0,0,0
713,mainCategoryXrelweekday_freq,277.3608325,339.0792118,268.6884149,6.05E-05,5.86E-05,6.82E-05,7.89E-05,0,0,0,0,0,0,0,0
714,brand.Football.teamXsize3_freq,587.928314,333.6762869,383.7227422,2.76E-05,2.43E-05,4.17E-05,3.65E-05,0,0,0,0,0,0,0,0
715,mainCategoryXsize.body_freq,552.9624692,331.301206,481.7838979,0.000321977,0.000192932,0.000203465,0.000261131,0,0,0,0,0,0,0,0
716,color.richXbrand.popularity_freq,463.9534971,330.0617872,313.9067731,7.57E-06,4.70E-06,1.15E-05,1.05E-05,0,0,0,0,0,0,0,0
717,trend.UhlsportXrelweekday_freq,434.1158563,329.0125672,383.2128061,6.46E-05,6.27E-05,9.17E-05,6.61E-05,0,0,0,0,0,0,0,0
718,brand.NBA.teamXmainCategory_freq,370.7785015,326.3908476,201.6157321,6.52E-05,1.43E-05,2.05E-05,4.16E-05,0,0,0,0,0,0,0,0
719,brandXrelmonthweek_freq,417.9035045,325.832819,463.7048967,0.000112391,5.24E-05,8.29E-05,0.000143124,0,0,0,0,0,0,0,0
720,trend.UhlsportXsize.child.cloth_freq,417.0999602,325.0425656,373.1789241,0.000195068,0.000209464,0.000311103,0.000308565,0,0,0,0,0,0,0,0
721,brand.topXmainCategory_freq,245.5616884,323.5558784,231.9332361,1.24E-05,8.90E-06,5.26E-06,2.86E-06,0,0,0,0,0,0,0,0
722,trend.UhlsportXsize.shape_freq,371.4241142,323.2199807,320.9993445,0.000338116,0.000340658,0.000428146,0.000361646,0,0,0,0,0,0,0,0
723,brand.group_freq,150.3281395,322.0339594,171.3483259,4.53E-06,5.61E-06,2.62E-06,7.36E-06,0,0,0,0,0,0,0,0
724,size4L,561.6462124,319.5036862,242.2480535,0.000685209,0.000490967,0.000484056,0.0005054,0,0,0,0,0,0,0,0
725,mainCategoryXsize.shape_freq,457.7691626,319.3571197,211.5237543,0.000226931,0.000179446,0.000208664,0.000156677,0,0,0,0,0,0,0,0
726,brand.groupXsize.child.cloth_freq,345.0404967,319.1466909,275.6750435,1.17E-05,1.84E-05,4.57E-06,6.13E-06,0,0,0,0,0,0,0,0
727,brand.popularityXrelmonthweek_freq,436.331321,317.8337662,324.2437044,5.11E-05,2.74E-05,4.15E-05,4.04E-05,0,0,0,0,0,0,0,0
728,size.bodyXrelweekday_freq,259.2053988,314.5799744,301.4116243,0.000116614,0.000120964,0.000108922,0.000157903,0,0,0,0,0,0,0,0
729,brand.competitionXsize3_freq,500.6258481,311.0611011,333.6983775,3.69E-05,4.75E-05,4.23E-05,4.21E-05,0,0,0,0,0,0,0,0
730,mainCategory_freq,297.9675391,309.3206813,317.8376374,3.66E-06,8.82E-06,1.11E-05,1.39E-05,0,0,0,0,0,0,0,0
731,size.bodyXrelmonthweek_freq,463.3095289,308.1925109,272.3328279,3.95E-05,3.24E-05,4.13E-05,0.000148589,0,0,0,0,0,0,0,0
732,trend.UhlsportXbrand.competition_freq,401.5762987,305.3649762,288.2672033,9.20E-05,6.27E-05,8.55E-05,7.42E-05,0,0,0,0,0,0,0,0
733,brand.groupXrelmonthweek_freq,371.1463798,302.6659295,375.2186114,0.000101201,2.98E-05,4.16E-05,1.20E-05,0,0,0,0,0,0,0,0
734,brand.German.player,283.8739186,301.2230708,268.7871849,0.000452438,0.000348979,0.000426259,0.000452942,0,0,0,0,0,0,0,0
735,stock.units.cutCut2,210.1269073,300.6327977,283.3967119,0.0004229,0.000241104,0.000289001,0.000246125,0,0,0,0,0,0,0,0
736,trend.Uhlsport,360.9729837,299.1984127,295.8557956,0.00020644,0.000189584,0.000169469,0.000172124,0,0,0,0,0,0,0,0
737,color.coldorwarmXrelmonthweek_freq,397.9185667,299.1809857,285.9479982,8.39E-05,9.54E-05,4.54E-05,0.000200803,0,0,0,0,0,0,0,0
738,trend.UhlsportXrelmonthweek_freq,434.6259679,296.3542301,359.8691308,8.07E-05,3.92E-05,0.000108853,9.09E-05,0,0,0,0,0,0,0,0
739,brand.topXsize3_freq,520.9763367,295.3148832,396.4401133,5.49E-05,6.21E-05,5.88E-05,0.000138922,0,0,0,0,0,0,0,0
740,brand.NBA.teamXsize.body_freq,388.6828804,295.1880832,286.8484746,6.44E-05,3.82E-05,0.000140597,8.23E-05,0,0,0,0,0,0,0,0
741,brand.Football.teamXmainCategory_freq,400.9472311,294.6474239,305.0863517,4.74E-06,6.83E-06,7.52E-06,3.14E-06,0,0,0,0,0,0,0,0
742,brand.popularityXsize.body_freq,522.6130734,293.8211323,418.0016669,9.67E-05,8.87E-05,3.56E-05,0.000211687,0,0,0,0,0,0,0,0
743,category16,328.1192935,293.7496269,404.1113607,0.00010531,0.000129947,0.00013657,0.000151274,0,0,0,0,0,0,0,0
744,color.richXbrand.nation_freq,670.7338738,292.3470396,325.1811541,4.94E-05,1.37E-05,2.83E-05,1.50E-05,0,0,0,0,0,0,0,0
745,color.coldorwarmXsize.shape_freq,269.3183138,285.8086853,305.8804013,0.000534958,0.000473942,0.000698759,0.000405811,0,0,0,0,0,0,0,0
746,brand.NBA.playerXsize.body_freq,273.1936542,285.6829529,279.5252157,4.34E-07,1.79E-06,9.47E-07,7.72E-07,0,0,0,0,0,0,0,0
747,size3_freq,405.550579,281.2775113,341.5238509,0.000117321,0.000104547,0.000115609,0.000118567,0,0,0,0,0,0,0,0
748,brand.nationXrelmonthweek_freq,668.2381159,280.0546896,239.0936456,0.000147036,5.20E-05,0.000122042,7.94E-05,0,0,0,0,0,0,0,0
749,trend.UhlsportXNewRelease_freq,432.2343985,277.7282833,335.7266371,7.69E-05,3.23E-05,5.49E-05,4.71E-05,0,0,0,0,0,0,0,0
750,color.richXbrand.group_freq,438.0658906,276.574341,326.5837269,6.90E-06,6.52E-06,6.67E-06,3.40E-06,0,0,0,0,0,0,0,0
751,brand.NBA.playerXmainCategory_freq,967.3625795,270.0145602,233.0302074,1.01E-06,1.75E-08,3.26E-08,2.07E-09,0,0,0,0,0,0,0,1
752,brand.groupXsize.shape_freq,339.5256644,269.2181104,310.2796234,2.35E-05,2.64E-05,3.33E-05,3.45E-05,0,0,0,0,0,0,0,0
753,trend.UhlsportXbrand.NBA.team_freq,392.1258931,268.3036797,308.9886118,6.27E-05,3.80E-05,6.32E-05,9.60E-05,0,0,0,0,0,0,0,0
754,brandXsize.child.cloth_freq,463.3310066,268.1074295,297.6873072,7.50E-05,9.05E-05,5.96E-05,9.54E-05,0,0,0,0,0,0,0,0
755,trend.UhlsportXbrand.NBA.player_freq,342.7737651,266.9533165,284.3587581,1.93E-06,1.07E-06,5.82E-07,9.29E-07,0,0,0,0,0,0,0,0
756,brand.Football.playerXmainCategory_freq,361.0869816,266.6593754,313.169338,3.79E-05,2.30E-05,3.32E-05,1.68E-05,0,0,0,0,0,0,0,0
757,brand.nationXsize.shape_freq,372.7048741,256.6707821,271.4449076,0.000123931,0.000109293,0.000108174,0.000111201,0,0,0,0,0,0,0,0
758,color.coldorwarmXbrand.NBA.player_freq,281.8067002,250.0378394,250.1686071,1.45E-07,1.76E-08,2.23E-07,8.88E-08,0,0,0,0,0,0,0,1
759,color.coldorwarmXsize.child.cloth_freq,292.5141305,249.0830784,291.0297192,0.000247482,0.000156982,0.000233272,0.000188232,0,0,0,0,0,0,0,0
760,trend.UhlsportXbrand.top_freq,392.5032038,247.1222095,283.043678,3.74E-05,3.89E-05,5.93E-05,2.29E-05,0,0,0,0,0,0,0,0
761,mainCategoryXrelmonthweek_freq,432.5743877,246.185523,265.415945,1.79E-05,1.45E-05,1.22E-05,2.05E-05,0,0,0,0,0,0,0,0
762,brand.other.teamXsize.body_freq,141.7996607,243.5242065,169.2542992,6.05E-07,4.59E-07,1.08E-06,NA,0,0,0,0,0,0,0,0
763,brand.competitionXmainCategory_freq,351.7040468,243.0423905,214.7674211,2.47E-05,9.93E-06,6.31E-06,6.75E-06,0,0,0,0,0,0,0,0
764,brand.popularityXsize.child.cloth_freq,456.4750796,242.5473092,318.7923325,6.17E-05,6.39E-05,6.86E-05,2.80E-05,0,0,0,0,0,0,0,0
765,brand.nationXsize.child.cloth_freq,305.8075864,241.8950588,232.3443152,5.07E-05,5.56E-05,6.52E-05,7.23E-05,0,0,0,0,0,0,0,0
766,color.coldorwarmXbrand.NBA.team_freq,387.8356393,240.9321799,204.0283413,4.35E-05,0.000132172,4.59E-05,4.80E-05,0,0,0,0,0,0,0,0
767,size4M,234.5712889,239.8649764,166.6928622,0.000416272,0.000314677,0.000303602,0.00032867,0,0,0,0,0,0,0,0
768,category7,261.2897162,236.8175487,199.8646629,6.15E-05,6.95E-05,6.77E-05,7.37E-05,0,0,0,0,0,0,0,0
769,brand.competitionXsize.body_freq,240.2245237,235.8068299,231.6905324,4.07E-05,5.46E-05,5.50E-05,6.17E-05,0,0,0,0,0,0,0,0
770,brand.other.teamXmainCategory_freq,228.2337642,235.3591765,179.0373844,NA,NA,NA,NA,0,0,0,0,0,0,0,1
771,stock.units.cutCut5,316.2247881,231.8550508,174.027741,0.001240375,0.000540073,0.001093399,0.000757892,0,0,0,0,0,0,0,0
772,color.coldorwarm_freq,220.0374521,231.2943477,201.0152714,NA,NA,NA,NA,0,0,0,0,0,0,0,1
773,brand.other.playerXsize.body_freq,327.1597923,230.3086116,173.4125205,2.55E-06,1.66E-06,4.68E-06,3.63E-06,0,0,0,0,0,0,0,0
774,brandNike,223.7142295,229.2718451,157.7920054,0.000399228,0.000389783,0.000404472,0.000401302,0,0,0,0,0,0,0,0
775,color.coldorwarmXbrand.top_freq,209.5090145,229.0484055,200.6630827,4.78E-05,3.83E-05,4.61E-05,4.13E-05,0,0,0,0,0,0,0,0
776,brand_freq,259.874356,226.3815636,202.4504023,3.92E-06,4.83E-06,8.90E-06,9.67E-06,0,0,0,0,0,0,0,0
777,brand.Football.playerXsize.body_freq,229.6659101,224.6134467,231.2124362,5.66E-05,7.16E-05,7.32E-05,5.09E-05,0,0,0,0,0,0,0,0
778,color.coldorwarmXbrand.Football.player_freq,232.2039244,215.8973398,187.9205597,8.41E-05,0.00010448,9.61E-05,9.62E-05,0,0,0,0,0,0,0,0
779,subCategory21,235.2967272,213.5732275,211.6173923,0.000853924,0.000635458,0.000759799,0.000773039,0,0,0,0,0,0,0,0
780,color.richXrelmonthweek_freq,521.9064853,212.1823711,253.2469893,1.49E-05,1.47E-05,2.05E-05,1.50E-05,0,0,0,0,0,0,0,0
781,color.coldorwarmXbrand.other.team_freq,199.090266,212.092204,190.690807,2.70E-07,6.88E-07,1.11E-08,NA,0,0,0,0,0,0,0,1
782,brand.popularity_freq,346.2145193,208.1821072,285.3999309,5.38E-06,4.19E-06,3.46E-06,9.62E-06,0,0,0,0,0,0,0,0
783,brand.topXsize.body_freq,217.8025344,207.8210141,185.6404732,2.43E-05,1.97E-05,3.94E-05,3.46E-05,0,0,0,0,0,0,0,0
784,colorweiss,157.0221792,206.9407013,135.4015832,0.000774702,0.000723246,0.000682673,0.000703096,0,0,0,0,0,0,0,0
785,date.wdWednesday,175.4817465,206.1717789,210.7823812,0.00088004,0.000703711,0.000964763,0.000724671,0,0,0,0,0,0,0,0
786,brand.other.playerXmainCategory_freq,389.6580663,204.0807577,262.6097641,2.31E-08,4.31E-07,1.89E-06,1.99E-07,0,0,0,0,0,0,0,1
787,color.richXbrand.NBA.team_freq,232.3810348,202.737226,151.302966,1.38E-05,2.82E-06,8.51E-06,8.74E-06,0,0,0,0,0,0,0,0
788,subCategory31,317.972428,201.2170133,264.8080565,0.000254874,0.000268482,0.000234405,0.000272461,0,0,0,0,0,0,0,0
789,color.richXsize.shape_freq,299.3894026,199.8830435,177.4456024,4.98E-05,4.03E-05,3.53E-05,3.77E-05,0,0,0,0,0,0,0,0
790,stock.cut.2.5.4.5.,226.8028998,199.562122,142.2912568,0.000173116,0.000156141,0.000121216,0.000166229,0,0,0,0,0,0,0,0
791,color.coldorwarmXbrand.Football.team_freq,273.3893453,199.2016991,272.7272681,1.63E-05,1.86E-05,1.97E-05,1.88E-05,0,0,0,0,0,0,0,0
792,brand.Football.teamXsize.body_freq,419.4880204,195.6214963,228.725566,1.25E-05,1.07E-05,1.16E-05,7.22E-06,0,0,0,0,0,0,0,0
793,size.body_freq,221.6497676,188.4365712,134.8444434,8.38E-05,5.57E-05,6.03E-05,5.17E-05,0,0,0,0,0,0,0,0
794,color.richXbrand.NBA.player_freq,240.8195817,187.5915018,137.8702032,7.22E-09,NA,2.07E-07,NA,0,0,0,0,0,0,0,1
795,color.richXsize.child.cloth_freq,252.571136,187.0134168,185.6508113,2.46E-05,1.30E-05,1.38E-05,5.20E-06,0,0,0,0,0,0,0,0
796,color.coldorwarmXbrand.competition_freq,300.5081539,185.1997212,205.0358288,0.000114321,0.000100698,7.16E-05,9.80E-05,0,0,0,0,0,0,0,0
797,brand.NBA.teamXsize.shape_freq,136.089091,182.9508628,130.2200702,6.44E-06,6.13E-06,7.27E-06,7.65E-06,0,0,0,0,0,0,0,0
798,size.shapeXrelmonthweek_freq,167.8799013,182.778219,155.3757323,3.81E-05,3.51E-05,3.46E-05,3.52E-05,0,0,0,0,0,0,0,0
799,color.coldorwarmXbrand.other.player_freq,273.7591178,180.9566083,220.9542451,3.12E-06,6.30E-06,5.26E-06,1.56E-07,0,0,0,0,0,0,0,0
800,size.child.clothXrelweekday_freq,183.4308606,179.6439212,133.6784354,2.97E-05,3.34E-05,2.73E-05,2.98E-05,0,0,0,0,0,0,0,0
801,color.richXrelweekday_freq,633.5743932,178.9719857,257.2864594,5.76E-05,1.96E-05,2.09E-05,1.53E-05,0,0,0,0,0,0,0,0
802,brand.nation_freq,187.399846,174.9148713,224.9124562,5.04E-06,4.93E-06,6.63E-06,1.18E-05,0,0,0,0,0,0,0,0
803,brand.German.football.club,216.8265285,174.3893992,130.7840208,0.000126916,8.58E-05,0.000207452,0.000119226,0,0,0,0,0,0,0,0
804,stock.units.cutCut3,343.3980197,170.4381191,175.8899651,0.000305307,0.000222378,0.000234569,0.000270281,0,0,0,0,0,0,0,0
805,size.child.clothXrelmonthweek_freq,246.287354,167.2735723,148.9119999,8.85E-06,1.66E-05,7.01E-06,1.72E-05,0,0,0,0,0,0,0,0
806,category33,130.2954569,163.1946292,142.0582415,0.000133649,0.000153239,0.000164229,0.000156535,0,0,0,0,0,0,0,0
807,color.richXbrand.Football.team_freq,117.0315858,155.4720586,100.9780318,8.23E-06,4.35E-06,1.79E-06,5.38E-06,0,0,0,0,0,0,0,0
808,subCategory8,194.8925346,154.0358498,174.5015243,0.000920507,0.000872753,0.00091762,0.000797672,0,0,0,0,0,0,0,0
809,size.shapeXrelweekday_freq,232.9249194,153.9783662,191.7038594,0.000101419,0.000101044,0.000129502,9.93E-05,0,0,0,0,0,0,0,0
810,date.wm2,173.567222,152.2207022,177.1459529,0.000286575,0.000211533,0.000157572,0.000164369,0,0,0,0,0,0,0,0
811,brand.NBA.playerXrelweekday_freq,169.4339545,151.8693921,230.1044865,3.41E-08,NA,NA,1.19E-06,0,0,0,0,0,0,0,1
812,color.richXbrand.other.team_freq,152.210875,149.8190702,139.4489782,1.33E-06,5.13E-07,3.10E-06,5.11E-08,0,0,0,0,0,0,0,0
813,date.wm5,142.5874836,142.7714517,185.4929194,0.00010414,0.000124242,0.000181527,0.000163815,0,0,0,0,0,0,0,0
814,brand.Football.teamXrelweekday_freq,67.31618058,135.9784851,69.83886787,4.16E-06,1.72E-06,7.88E-06,1.00E-06,0,0,0,0,0,0,0,0
815,brand.competitionXrelmonthweek_freq,78.44291951,130.264404,61.09135835,4.65E-06,1.35E-06,6.84E-07,8.80E-07,0,0,0,0,0,0,0,0
816,color.richXbrand.top_freq,138.6682878,128.8008925,127.2824404,5.04E-06,1.56E-06,4.66E-06,3.33E-06,0,0,0,0,0,0,0,0
817,brand.NBA.teamXrelweekday_freq,87.44161945,128.7381153,159.5145236,5.10E-06,7.79E-06,4.71E-07,5.31E-06,0,0,0,0,0,0,0,0
818,mainCategory9,121.8038073,127.6254949,80.72250767,0.000124828,0.00013581,0.000111746,0.000139118,0,0,0,0,0,0,0,0
819,brand.NBA.playerXrelmonthweek_freq,108.0403765,124.0587859,115.0016087,3.37E-07,NA,NA,NA,0,0,0,0,0,0,0,1
820,date.wdTuesday,261.1359835,123.7605125,113.0960718,0.000210796,0.000288913,0.00024448,0.000300325,0,0,0,0,0,0,0,0
821,color.richXbrand.competition_freq,122.8201841,121.4606991,135.0259979,5.01E-06,5.22E-06,2.50E-06,3.94E-06,0,0,0,0,0,0,0,0
822,color.richXbrand.Football.player_freq,190.6999574,120.4503164,164.4662421,4.92E-06,1.17E-06,7.52E-07,1.73E-06,0,0,0,0,0,0,0,0
823,size44,216.3970737,119.5956937,154.5748149,0.00015468,0.00012774,0.000150441,0.000157823,0,0,0,0,0,0,0,0
824,brand.NBA.playerXsize.shape_freq,109.9724152,118.2825088,101.0805671,1.13E-07,2.77E-07,6.13E-07,2.45E-06,0,0,0,0,0,0,0,0
825,brand.NBA.teamXsize.child.cloth_freq,143.7003555,117.821505,116.3116812,2.78E-06,2.77E-06,2.34E-06,1.47E-06,0,0,0,0,0,0,0,0
826,subCategory33,120.016949,116.9528432,220.1866368,NA,NA,NA,NA,0,0,0,0,0,0,0,1
827,colorrot,130.2541487,116.2625731,128.1531867,0.00069243,0.000610937,0.000620222,0.00066105,0,0,0,0,0,0,0,0
828,date.wm4,111.9966468,113.7095112,111.8825987,0.000124414,0.000107276,0.000101236,0.00012718,0,0,0,0,0,0,0,0
829,brand.NBA.player_freq,25.44995895,112.3199352,30.99506899,1.10E-07,NA,4.15E-08,2.05E-10,0,0,0,1,0,0,0,1
830,subCategory13,162.7773658,110.5964624,110.91317,0.000183446,0.000244979,0.000115364,0.000119027,0,0,0,0,0,0,0,0
831,brand.other.playerXsize.child.cloth_freq,140.741824,110.4708607,62.64489099,9.71E-08,3.02E-08,NA,3.74E-07,0,0,0,0,0,0,0,1
832,color.richXbrand.other.player_freq,174.0641242,109.2540224,201.2629064,1.05E-06,3.31E-08,2.63E-06,3.27E-08,0,0,0,0,0,0,0,0
833,color.coldorwarmwarm,192.6667233,103.4456382,103.936207,0.000121245,6.92E-05,8.52E-05,5.50E-05,0,0,0,0,0,0,0,0
834,brand.other.teamXrelmonthweek_freq,142.6415253,102.4719031,154.0494185,1.99E-07,NA,2.05E-06,NA,0,0,0,0,0,0,0,1
835,brand.topXrelweekday_freq,195.2032958,99.16627261,132.6254723,1.17E-05,1.22E-05,1.45E-05,1.27E-05,0,0,0,0,0,0,0,0
836,size4XL,49.1848017,98.51954825,47.96687967,0.000292338,0.000218879,0.000266825,0.000226838,0,0,0,0,0,0,0,0
837,brand.NBA.playerXsize.child.cloth_freq,127.2442977,98.26762851,101.8830993,4.28E-09,NA,NA,NA,0,0,0,0,0,0,0,1
838,color.rich_freq,129.8487711,97.50623047,121.5726422,1.03E-05,7.71E-06,5.33E-06,1.44E-05,0,0,0,0,0,0,0,0
839,date.wdMonday,97.43118967,97.43789936,130.8363919,0.000120105,0.000212646,0.000104466,0.000151572,0,0,0,0,0,0,0,0
840,brand.Football.teamXsize.shape_freq,85.32863295,97.06027628,83.60738007,1.15E-05,1.54E-05,1.21E-05,1.33E-05,0,0,0,0,0,0,0,0
841,date.wm3,111.7508177,96.53748423,87.03790086,0.000330135,0.000253327,0.000227192,0.000171102,0,0,0,0,0,0,0,0
842,color.coldorwarmneutral,155.3698588,95.76458664,121.0063829,0.000105896,0.000127944,0.000113103,0.000139109,0,0,0,0,0,0,0,0
843,brand.NBA.teamXrelmonthweek_freq,213.252049,94.96428344,193.3150223,9.34E-07,4.54E-06,1.55E-06,1.27E-06,0,0,0,0,0,0,0,0
844,brand.Football.teamXrelmonthweek_freq,177.7308391,94.6513591,68.76485091,4.17E-06,6.66E-06,2.54E-06,1.24E-05,0,0,0,0,0,0,0,0
845,brand.Football.playerXsize.child.cloth_freq,66.22472917,92.39032777,52.81837914,1.36E-05,8.95E-06,1.89E-05,1.36E-05,0,0,0,0,0,0,0,0
846,relweekday_freq,162.2417394,91.77549102,89.18558276,3.20E-05,2.05E-05,3.18E-05,2.58E-05,0,0,0,0,0,0,0,0
847,brand.competitionXsize.shape_freq,94.09645961,91.13644265,68.99127321,4.63E-05,2.27E-05,7.27E-05,2.30E-05,0,0,0,0,0,0,0,0
848,brand.other.teamXrelweekday_freq,99.65534762,89.78161097,102.3611691,NA,NA,NA,NA,0,0,0,0,0,0,0,1
849,date.wdSaturday,74.70863628,89.68813895,69.18124089,0.000306591,0.000372175,0.000140186,0.000217545,0,0,0,0,0,0,0,0
850,subCategory25,81.47629675,89.62872436,67.3335821,0.000887919,0.000806878,0.000857567,0.000763167,0,0,0,0,0,0,0,0
851,brand.Football.playerXrelweekday_freq,141.8760711,88.66409437,167.7491922,5.26E-06,3.96E-06,7.61E-06,4.44E-06,0,0,0,0,0,0,0,0
852,relday,157.2705865,87.5300875,87.72108969,0.000435055,0.00036807,0.000417421,0.000426496,0,0,0,0,0,0,0,0
853,colorgrau,116.0582913,86.26568021,112.2520478,0.000409309,0.000343591,0.000437522,0.000373704,0,0,0,0,0,0,0,0
854,brand.Football.playerXsize.shape_freq,150.0322379,84.90615679,70.04935676,4.60E-05,3.10E-05,3.64E-05,3.82E-05,0,0,0,0,0,0,0,0
855,brand.topXsize.child.cloth_freq,65.8110524,84.52943707,66.67290487,4.57E-06,2.27E-06,7.38E-06,6.54E-06,0,0,0,0,0,0,0,0
856,size.child.cloth_freq,40.91290711,80.39203599,58.55295464,1.89E-05,9.62E-06,2.67E-05,1.76E-05,0,0,0,0,0,0,0,0
857,brand.topXsize.shape_freq,94.98055136,79.93418348,72.4538868,2.22E-05,2.55E-05,1.63E-05,1.51E-05,0,0,0,0,0,0,0,0
858,size.bodytall,88.36518034,79.37775554,54.32470314,0.000169468,0.000160224,0.000148098,0.000144119,0,0,0,0,0,0,0,0
859,size.shape_freq,111.9264584,79.24100322,67.14765811,NA,NA,NA,NA,0,0,0,0,0,0,0,1
860,brand.other.playerXrelmonthweek_freq,154.8014831,78.60690003,87.40011492,2.91E-07,7.19E-07,NA,NA,0,0,0,0,0,0,0,1
