[1] "Prediction Error: 2.00702"
BestTune:
  alpha lambda      RMSE   Rsquared        MAE     RMSESD  RsquaredSD
1     0      0 0.2235579 0.03190798 0.05531715 0.04362439 0.008227906
       MAESD
1 0.00210206
ResultsTune:
        alpha     lambda      RMSE   Rsquared        MAE     RMSESD  RsquaredSD
76  0.5555556  0.0000000 0.2235665 0.03186727 0.05549354 0.04361704 0.008222272
77  0.5555556  0.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
78  0.5555556  1.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
79  0.5555556  2.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
80  0.5555556  2.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
81  0.5555556  3.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
82  0.5555556  4.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
83  0.5555556  5.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
84  0.5555556  5.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
85  0.5555556  6.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
86  0.5555556  7.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
87  0.5555556  7.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
88  0.5555556  8.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
89  0.5555556  9.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
90  0.5555556 10.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
91  0.6666667  0.0000000 0.2235665 0.03186731 0.05549407 0.04361703 0.008222278
92  0.6666667  0.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
93  0.6666667  1.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
94  0.6666667  2.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
95  0.6666667  2.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
96  0.6666667  3.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
97  0.6666667  4.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
98  0.6666667  5.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
99  0.6666667  5.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
100 0.6666667  6.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
101 0.6666667  7.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
102 0.6666667  7.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
103 0.6666667  8.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
104 0.6666667  9.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
105 0.6666667 10.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
106 0.7777778  0.0000000 0.2235665 0.03186719 0.05549438 0.04361702 0.008222114
107 0.7777778  0.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
108 0.7777778  1.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
109 0.7777778  2.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
110 0.7777778  2.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
111 0.7777778  3.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
112 0.7777778  4.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
113 0.7777778  5.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
114 0.7777778  5.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
115 0.7777778  6.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
116 0.7777778  7.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
117 0.7777778  7.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
118 0.7777778  8.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
119 0.7777778  9.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
120 0.7777778 10.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
121 0.8888889  0.0000000 0.2235665 0.03186711 0.05549468 0.04361701 0.008222160
122 0.8888889  0.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
123 0.8888889  1.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
124 0.8888889  2.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
125 0.8888889  2.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
126 0.8888889  3.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
127 0.8888889  4.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
128 0.8888889  5.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
129 0.8888889  5.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
130 0.8888889  6.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
131 0.8888889  7.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
132 0.8888889  7.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
133 0.8888889  8.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
134 0.8888889  9.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
135 0.8888889 10.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
136 1.0000000  0.0000000 0.2235665 0.03186708 0.05549487 0.04361701 0.008222119
137 1.0000000  0.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
138 1.0000000  1.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
139 1.0000000  2.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
140 1.0000000  2.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
141 1.0000000  3.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
142 1.0000000  4.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
143 1.0000000  5.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
144 1.0000000  5.7142857 0.2269791        NaN 0.04707005 0.04390741          NA
145 1.0000000  6.4285714 0.2269791        NaN 0.04707005 0.04390741          NA
146 1.0000000  7.1428571 0.2269791        NaN 0.04707005 0.04390741          NA
147 1.0000000  7.8571429 0.2269791        NaN 0.04707005 0.04390741          NA
148 1.0000000  8.5714286 0.2269791        NaN 0.04707005 0.04390741          NA
149 1.0000000  9.2857143 0.2269791        NaN 0.04707005 0.04390741          NA
150 1.0000000 10.0000000 0.2269791        NaN 0.04707005 0.04390741          NA
          MAESD
1   0.002102060
2   0.002379571
3   0.002392043
4   0.002396383
5   0.002398652
6   0.002400034
7   0.002401021
8   0.002401762
9   0.002402276
10  0.002402698
11  0.002403063
12  0.002403355
13  0.002403589
14  0.002403786
15  0.002403973
16  0.002101036
17  0.002406365
18  0.002406365
19  0.002406365
20  0.002406365
21  0.002406365
22  0.002406365
23  0.002406365
24  0.002406365
25  0.002406365
26  0.002406365
27  0.002406365
28  0.002406365
29  0.002406365
30  0.002406365
31  0.002100816
32  0.002406365
33  0.002406365
34  0.002406365
35  0.002406365
36  0.002406365
37  0.002406365
38  0.002406365
39  0.002406365
40  0.002406365
41  0.002406365
42  0.002406365
43  0.002406365
44  0.002406365
45  0.002406365
46  0.002101082
47  0.002406365
48  0.002406365
49  0.002406365
50  0.002406365
51  0.002406365
52  0.002406365
53  0.002406365
54  0.002406365
55  0.002406365
56  0.002406365
57  0.002406365
58  0.002406365
59  0.002406365
60  0.002406365
61  0.002100983
62  0.002406365
63  0.002406365
64  0.002406365
65  0.002406365
66  0.002406365
67  0.002406365
68  0.002406365
69  0.002406365
70  0.002406365
71  0.002406365
72  0.002406365
73  0.002406365
74  0.002406365
75  0.002406365
76  0.002100988
77  0.002406365
78  0.002406365
79  0.002406365
80  0.002406365
81  0.002406365
82  0.002406365
83  0.002406365
84  0.002406365
85  0.002406365
86  0.002406365
87  0.002406365
88  0.002406365
89  0.002406365
90  0.002406365
91  0.002101071
92  0.002406365
93  0.002406365
94  0.002406365
95  0.002406365
96  0.002406365
97  0.002406365
98  0.002406365
99  0.002406365
100 0.002406365
101 0.002406365
102 0.002406365
103 0.002406365
104 0.002406365
105 0.002406365
106 0.002100784
107 0.002406365
108 0.002406365
109 0.002406365
110 0.002406365
111 0.002406365
112 0.002406365
113 0.002406365
114 0.002406365
115 0.002406365
116 0.002406365
117 0.002406365
118 0.002406365
119 0.002406365
120 0.002406365
121 0.002100621
122 0.002406365
123 0.002406365
124 0.002406365
125 0.002406365
126 0.002406365
127 0.002406365
128 0.002406365
129 0.002406365
130 0.002406365
131 0.002406365
132 0.002406365
133 0.002406365
134 0.002406365
135 0.002406365
136 0.002100585
137 0.002406365
138 0.002406365
139 0.002406365
140 0.002406365
141 0.002406365
142 0.002406365
143 0.002406365
144 0.002406365
145 0.002406365
146 0.002406365
147 0.002406365
148 0.002406365
149 0.002406365
150 0.002406365
