[1] "Prediction Error: 1.82951"
BestTune:
  alpha lambda    RMSE  Rsquared       MAE    RMSESD RsquaredSD      MAESD
1     0      0 1.76357 0.2080982 0.5162596 0.3456831 0.06564072 0.01239702
ResultsTune:
        alpha     lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD
76  0.5555556  0.0000000 1.764020 0.2081440 0.5220703 0.3439217 0.06580748
77  0.5555556  0.7142857 1.875478 0.1502075 0.5190109 0.3604619 0.05003370
78  0.5555556  1.4285714 1.969302       NaN 0.5615620 0.3554985         NA
79  0.5555556  2.1428571 1.969302       NaN 0.5615620 0.3554985         NA
80  0.5555556  2.8571429 1.969302       NaN 0.5615620 0.3554985         NA
81  0.5555556  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
82  0.5555556  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
83  0.5555556  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
84  0.5555556  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
85  0.5555556  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
86  0.5555556  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
87  0.5555556  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
88  0.5555556  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
89  0.5555556  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
90  0.5555556 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
91  0.6666667  0.0000000 1.764025 0.2081431 0.5220800 0.3439169 0.06580825
92  0.6666667  0.7142857 1.890706 0.1502077 0.5262219 0.3606428 0.05004242
93  0.6666667  1.4285714 1.969302       NaN 0.5615620 0.3554985         NA
94  0.6666667  2.1428571 1.969302       NaN 0.5615620 0.3554985         NA
95  0.6666667  2.8571429 1.969302       NaN 0.5615620 0.3554985         NA
96  0.6666667  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
97  0.6666667  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
98  0.6666667  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
99  0.6666667  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
100 0.6666667  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
101 0.6666667  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
102 0.6666667  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
103 0.6666667  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
104 0.6666667  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
105 0.6666667 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
106 0.7777778  0.0000000 1.764029 0.2081419 0.5220900 0.3439130 0.06580818
107 0.7777778  0.7142857 1.909078 0.1502077 0.5345880 0.3606009 0.05004242
108 0.7777778  1.4285714 1.969302       NaN 0.5615620 0.3554985         NA
109 0.7777778  2.1428571 1.969302       NaN 0.5615620 0.3554985         NA
