date|trend.11teamsporting43|trend.amazon|trend.bonton|trend.coupon|trend.adidas|trend.asics|trend.Converse|trend.Jako|trend.Jordan|trend.KangaROOS|trend.Nike|trend.PUMA|trend.Reebok|trend.Uhlsport|trend.Under.Armour|trend.clearance
2017/12/18|23|58|22|54|37|30|30|23|50|12|33|43|17|6|29|57
2017/12/19|5|53|35|52|34|33|28|14|60|8|31|41|16|4|30|30
2017/12/20|5|50|34|48|29|40|18|16|60|5|31|37|15|0|24|61
2017/12/21|10|45|32|45|34|30|22|19|60|7|29|41|11|2|43|63
2017/12/22|17|42|25|34|36|41|27|15|43|6|28|45|20|0|39|0
2017/12/23|6|37|32|41|33|35|44|14|45|4|32|43|18|3|33|38
2017/12/24|0|39|41|28|38|46|24|9|78|2|39|41|18|0|31|42
2017/12/25|12|50|17|54|46|59|37|10|70|4|39|59|21|0|38|0
2017/12/26|23|48|26|57|46|77|40|10|48|2|41|61|28|2|51|36
2017/12/27|25|47|34|43|40|68|27|5|52|7|35|41|29|0|33|31
2017/12/28|26|48|22|52|41|82|27|17|52|2|37|62|14|0|38|32
2017/12/29|27|44|31|49|39|79|27|25|63|4|36|55|17|0|31|33
2017/12/30|11|40|26|49|43|79|43|19|37|0|35|53|29|5|23|69
2017/12/31|13|32|23|29|30|53|25|9|64|4|27|45|16|0|19|0
2018/1/1|0|38|26|53|34|63|26|15|48|2|31|41|11|2|33|70
2018/1/2|32|41|20|50|38|69|42|35|60|6|32|55|16|6|38|28
2018/1/3|13|43|17|47|39|54|45|15|54|6|34|50|19|2|36|27
2018/1/4|9|41|17|46|35|69|31|27|53|1|37|54|31|0|41|28
2018/1/5|14|40|21|39|39|65|46|29|56|3|37|55|17|2|29|44
2018/1/6|16|41|20|54|46|88|53|21|43|5|42|51|25|0|48|48
2018/1/7|10|40|20|44|40|84|50|24|39|7|39|54|17|4|46|30
2018/1/8|9|37|15|44|37|59|41|13|49|4|35|43|18|2|33|27
2018/1/9|9|38|15|43|39|51|24|25|47|0|33|49|19|0|28|28
2018/1/10|9|39|17|39|41|52|36|20|38|6|31|45|18|9|43|58
2018/1/11|14|39|17|46|42|48|50|36|75|1|33|51|17|0|34|28
2018/1/12|9|36|14|53|48|74|43|25|46|8|30|60|17|4|42|29
2018/1/13|21|42|19|68|57|80|41|10|50|2|42|71|26|4|39|66
2018/1/14|19|42|14|64|49|85|54|23|55|11|41|60|21|2|58|0
2018/1/15|22|38|16|42|43|58|29|19|41|7|41|41|15|5|34|26
2018/1/16|9|36|14|46|47|81|41|35|42|3|35|50|14|2|27|41
2018/1/17|14|39|15|54|41|63|33|18|82|4|29|46|14|0|33|28
2018/1/18|9|35|10|39|35|68|43|22|46|4|31|46|14|4|25|40
2018/1/19|29|36|16|38|38|40|52|27|63|5|40|52|17|2|37|58
2018/1/20|10|42|17|48|52|64|51|16|74|3|46|74|24|4|28|48
2018/1/21|14|43|16|59|49|70|72|30|49|8|43|69|22|2|46|45
2018/1/22|9|37|17|46|35|46|44|23|47|0|35|58|21|0|37|80
2018/1/23|35|37|12|37|39|57|30|12|39|9|39|65|24|2|31|53
